"Date Reporter","Product","Reporter_MappedCode","Partner","CropYear","Month","MonthYear","Year","Quantity","Forecast","Product_Name","Reporter_MappedName","Partner_Name","Group_Reporter","Group_Partner"
"2016-01-01","SFO","ESP","PRT","2016/17","01","2016-01",2016,2.222782000000,false,"Sunflower Seed Oil","Spain","Portugal","other","Europe"
"2016-01-01","SFO","ESP","ROW","2016/17","01","2016-01",2016,1.462974000000,false,"Sunflower Seed Oil","Spain","Rest of the World","other","Other"
"2016-01-01","SFO","ESP","SAU","2016/17","01","2016-01",2016,0.064800000000,false,"Sunflower Seed Oil","Spain","Saudi Arabia","other","other"
"2016-01-01","SFO","ESP","SGP","2016/17","01","2016-01",2016,0.009960000000,false,"Sunflower Seed Oil","Spain","Singapore","other","other"
"2016-01-01","SFO","ESP","SWE","2016/17","01","2016-01",2016,0.010232000000,false,"Sunflower Seed Oil","Spain","Sweden","other","Europe"
"2016-01-01","SFO","ESP","UAE","2016/17","01","2016-01",2016,0.000015000000,false,"Sunflower Seed Oil","Spain","United Arab Emirates","other","other"
"2016-01-01","SFO","ESP","USA","2016/17","01","2016-01",2016,0.493090000000,false,"Sunflower Seed Oil","Spain","United States","other","other"
"2016-01-01","SFO","ESP","VEN","2016/17","01","2016-01",2016,0.000020000000,false,"Sunflower Seed Oil","Spain","Venezuela","other","other"
"2016-01-01","SFO","ESP","ZAF","2016/17","01","2016-01",2016,1.543770000000,false,"Sunflower Seed Oil","Spain","South Africa","other","other"
"2016-01-01","SFS","ESP","BEL","2016/17","01","2016-01",2016,0.000048000000,false,"Sunflower Seed","Spain","Belgium","other","Europe"
"2016-01-01","SFS","ESP","BGR","2016/17","01","2016-01",2016,0.075501000000,false,"Sunflower Seed","Spain","Bulgaria","other","Europe"
"2016-01-01","SFS","ESP","DEU","2016/17","01","2016-01",2016,0.049283000000,false,"Sunflower Seed","Spain","Germany","other","Europe"
"2016-01-01","SFS","ESP","DNK","2016/17","01","2016-01",2016,0.007056000000,false,"Sunflower Seed","Spain","Denmark","other","Europe"
"2016-01-01","SFS","ESP","ESP","2016/17","01","2016-01",2016,0.013486000000,false,"Sunflower Seed","Spain","Spain","other","Europe"
"2016-01-01","SFS","ESP","FRA","2016/17","01","2016-01",2016,1.103848000000,false,"Sunflower Seed","Spain","France","other","Europe"
"2016-01-01","SFS","ESP","GBR","2016/17","01","2016-01",2016,0.000538000000,false,"Sunflower Seed","Spain","United Kingdom","other","Europe"
"2016-01-01","SFS","ESP","GRC","2016/17","01","2016-01",2016,0.006941000000,false,"Sunflower Seed","Spain","Greece","other","Europe"
"2016-01-01","SFS","ESP","HUN","2016/17","01","2016-01",2016,0.052904000000,false,"Sunflower Seed","Spain","Hungary","other","Europe"
"2016-01-01","SFS","ESP","ITA","2016/17","01","2016-01",2016,0.050599000000,false,"Sunflower Seed","Spain","Italy","other","Europe"
"2016-01-01","SFS","ESP","MAR","2016/17","01","2016-01",2016,0.003824000000,false,"Sunflower Seed","Spain","Morocco","other","other"
"2016-01-01","SFS","ESP","NLD","2016/17","01","2016-01",2016,0.001967000000,false,"Sunflower Seed","Spain","Netherlands","other","Europe"
"2016-01-01","SFS","ESP","POL","2016/17","01","2016-01",2016,0.000285000000,false,"Sunflower Seed","Spain","Poland","other","Europe"
"2016-01-01","SFS","ESP","PRT","2016/17","01","2016-01",2016,0.167710000000,false,"Sunflower Seed","Spain","Portugal","other","Europe"
"2016-01-01","SFS","ESP","ROU","2016/17","01","2016-01",2016,0.134437000000,false,"Sunflower Seed","Spain","Romania","other","Europe"
"2016-01-01","SFS","ESP","ROW","2016/17","01","2016-01",2016,0.572184000000,false,"Sunflower Seed","Spain","Rest of the World","other","Other"
"2016-01-01","SFS","ESP","RUS","2016/17","01","2016-01",2016,0.154766000000,false,"Sunflower Seed","Spain","Russian Federation","other","other"
"2016-01-01","SFS","ESP","SWE","2016/17","01","2016-01",2016,0.006363000000,false,"Sunflower Seed","Spain","Sweden","other","Europe"
"2016-01-01","SFS","ESP","TUR","2016/17","01","2016-01",2016,0.030284000000,false,"Sunflower Seed","Spain","Turkey","other","other"
"2016-01-01","SPC","ESP","AUT","2016/17","01","2016-01",2016,0.001921000000,false,"Soybean protein concentrate","Spain","Austria","other","Europe"
"2016-01-01","SPC","ESP","BEL","2016/17","01","2016-01",2016,0.004460000000,false,"Soybean protein concentrate","Spain","Belgium","other","Europe"
"2016-01-01","SPC","ESP","BGR","2016/17","01","2016-01",2016,0.001440000000,false,"Soybean protein concentrate","Spain","Bulgaria","other","Europe"
"2016-01-01","SPC","ESP","CHE","2016/17","01","2016-01",2016,0.001473000000,false,"Soybean protein concentrate","Spain","Switzerland","other","other"
"2016-01-01","SPC","ESP","CHN","2016/17","01","2016-01",2016,0.000068000000,false,"Soybean protein concentrate","Spain","China","other","other"
"2016-01-01","SPC","ESP","CYP","2016/17","01","2016-01",2016,0.000757000000,false,"Soybean protein concentrate","Spain","Cyprus","other","Europe"
"2016-01-01","SPC","ESP","CZE","2016/17","01","2016-01",2016,0.000790000000,false,"Soybean protein concentrate","Spain","Czech Republic","other","Europe"
"2016-01-01","SPC","ESP","DEU","2016/17","01","2016-01",2016,0.033920000000,false,"Soybean protein concentrate","Spain","Germany","other","Europe"
"2016-01-01","SPC","ESP","DNK","2016/17","01","2016-01",2016,0.000284000000,false,"Soybean protein concentrate","Spain","Denmark","other","Europe"
"2016-01-01","SPC","ESP","ESP","2016/17","01","2016-01",2016,0.026642000000,false,"Soybean protein concentrate","Spain","Spain","other","Europe"
"2016-01-01","SPC","ESP","FRA","2016/17","01","2016-01",2016,0.052121000000,false,"Soybean protein concentrate","Spain","France","other","Europe"
"2016-01-01","SPC","ESP","GBR","2016/17","01","2016-01",2016,0.000430000000,false,"Soybean protein concentrate","Spain","United Kingdom","other","Europe"
"2016-01-01","SPC","ESP","GRC","2016/17","01","2016-01",2016,0.001709000000,false,"Soybean protein concentrate","Spain","Greece","other","Europe"
"2016-01-01","SPC","ESP","IND","2016/17","01","2016-01",2016,0.000100000000,false,"Soybean protein concentrate","Spain","India","other","other"
"2016-01-01","SPC","ESP","IRL","2016/17","01","2016-01",2016,0.002340000000,false,"Soybean protein concentrate","Spain","Ireland","other","Europe"
"2016-01-01","SPC","ESP","IRN","2016/17","01","2016-01",2016,0.000014000000,false,"Soybean protein concentrate","Spain","Iran","other","other"
"2016-01-01","SPC","ESP","ISR","2016/17","01","2016-01",2016,0.000024000000,false,"Soybean protein concentrate","Spain","Israel","other","other"
