Date Reporter,Product,Reporter_MappedCode,Partner,CropYear,Month,MonthYear,Year,Quantity,Forecast,Product_Name,Reporter_MappedName,Partner_Name,Group_Reporter,Group_Partner
1/1/2016,SFO,ESP,BGR,2016/17,1,2016-01,2016,0.000184,FALSE,Sunflower Seed Oil,Spain,Bulgaria,other,Europe
1/1/2016,SFO,ESP,CHN,2016/17,1,2016-01,2016,0.097823,FALSE,Sunflower Seed Oil,Spain,China,other,other
1/1/2016,SFO,ESP,CYP,2016/17,1,2016-01,2016,0.03972,FALSE,Sunflower Seed Oil,Spain,Cyprus,other,Europe
1/1/2016,SFO,ESP,CZE,2016/17,1,2016-01,2016,0.011539,FALSE,Sunflower Seed Oil,Spain,Czech Republic,other,Europe
1/1/2016,SFO,ESP,DEU,2016/17,1,2016-01,2016,0.338359,FALSE,Sunflower Seed Oil,Spain,Germany,other,Europe
1/1/2016,SFO,ESP,DZA,2016/17,1,2016-01,2016,0.002325,FALSE,Sunflower Seed Oil,Spain,Algeria,other,other
1/1/2016,SFO,ESP,ESP,2016/17,1,2016-01,2016,0.613278,FALSE,Sunflower Seed Oil,Spain,Spain,other,Europe
1/1/2016,SFO,ESP,FRA,2016/17,1,2016-01,2016,1.507491,FALSE,Sunflower Seed Oil,Spain,France,other,Europe
1/1/2016,SFO,ESP,GBR,2016/17,1,2016-01,2016,0.035076,FALSE,Sunflower Seed Oil,Spain,United Kingdom,other,Europe
1/1/2016,SFO,ESP,GHA,2016/17,1,2016-01,2016,0.000075,FALSE,Sunflower Seed Oil,Spain,Ghana,other,other
1/1/2016,SFO,ESP,HUN,2016/17,1,2016-01,2016,0.000395,FALSE,Sunflower Seed Oil,Spain,Hungary,other,Europe
1/1/2016,SFO,ESP,IRL,2016/17,1,2016-01,2016,0.24125,FALSE,Sunflower Seed Oil,Spain,Ireland,other,Europe
1/1/2016,SFO,ESP,ISR,2016/17,1,2016-01,2016,0.294,FALSE,Sunflower Seed Oil,Spain,Israel,other,other
1/1/2016,SFO,ESP,ITA,2016/17,1,2016-01,2016,0.232343,FALSE,Sunflower Seed Oil,Spain,Italy,other,Europe
1/1/2016,SFO,ESP,KOR,2016/17,1,2016-01,2016,0.871387,FALSE,Sunflower Seed Oil,Spain,South Korea,other,other
1/1/2016,SFO,ESP,LBN,2016/17,1,2016-01,2016,0.028037,FALSE,Sunflower Seed Oil,Spain,Lebanon,other,other
1/1/2016,SFO,ESP,LTU,2016/17,1,2016-01,2016,0.002274,FALSE,Sunflower Seed Oil,Spain,Lithuania,other,Europe
1/1/2016,SFO,ESP,MAR,2016/17,1,2016-01,2016,0.15964,FALSE,Sunflower Seed Oil,Spain,Morocco,other,other
1/1/2016,SFO,ESP,MLT,2016/17,1,2016-01,2016,0.04377,FALSE,Sunflower Seed Oil,Spain,Malta,other,Europe
1/1/2016,SFO,ESP,MYS,2016/17,1,2016-01,2016,0.12648,FALSE,Sunflower Seed Oil,Spain,Malaysia,other,other
1/1/2016,SFO,ESP,NLD,2016/17,1,2016-01,2016,0.447119,FALSE,Sunflower Seed Oil,Spain,Netherlands,other,Europe
1/1/2016,SFO,ESP,NOR,2016/17,1,2016-01,2016,0.000126,FALSE,Sunflower Seed Oil,Spain,Norway,other,other
