Product,Location,Item,Cut-off Date,Value,Value Period,Value Period multiplier,Value Period Aggregation Type,Crop Year,Value Unit,Value Unit multiplier
Corn,CENTRAL NORTH CORDOBA,area_planted,2024-02-01,1157,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2024-02-01,472.4,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2024-01-01,1659.6,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,Argentina,area_planted,2023-11-01,5900,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2023-11-01,280,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2023-11-01,384,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2023-11-01,345,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2023-11-01,218,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2023-11-01,462,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2023-11-01,592,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2023-11-01,632,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,CENTRAL ENTRE RIOS,area_planted,2023-11-01,525,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2023-11-01,375,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2023-11-01,418,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2023-11-01,709,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2023-11-01,871,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2023-11-01,11,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2023-11-01,55,YEAR,1,SUM,2023/2024,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2023-11-01,23,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2024-01-01,1695.8,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2024-02-01,1042,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2024-01-01,1100.7,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,NORTH BELT,area_planted,2024-01-01,2288.2,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2024-01-01,224,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,SOUTH BELT,area_planted,2024-01-01,2395.2,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2024-01-01,1007.9,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2024-01-01,782,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2024-01-01,389.7,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2024-01-01,949.1,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2024-01-01,1816.7,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2024-01-01,173.8,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,Argentina,area_planted,2024-01-01,17300,YEAR,1,SUM,2023/2024,Hectare,1000
Soybean,Argentina_Others,area_planted,2024-01-01,78,YEAR,1,SUM,2023/2024,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2023-02-01,340,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2023-01-01,1515,YEAR,1,SUM,2022/2023,Hectare,1000
